User ID	Item ID
17	9
4	17
13	6
8	7
17	10
2	15
14	7
5	1
4	5
6	3
18	1
19	9
9	11
10	11
11	8
17	4
12	19
10	11
10	16
17	16
3	19
16	4
6	13
11	20
16	19
11	15
4	6
7	15
20	8
20	1
13	10
1	12
4	2
9	9
5	17
6	3
7	1
10	13
5	9
16	9
19	11
17	8
6	18
11	10
8	6
10	5
10	11
13	19
18	4
12	10
8	14
20	5
15	17
17	11
18	13
5	20
8	3
20	5
13	15
5	15
10	6
19	9
13	3
17	2
13	18
8	10
17	17
16	1
1	11
18	18
4	1
13	4
14	4
2	2
19	9
13	10
3	9
14	12
6	15
4	9
3	16
9	5
8	9
6	5
11	1
16	16
3	12
14	4
7	12
14	8
12	7
16	15
9	15
1	17
4	12
13	5
6	1
6	12
17	4
9	3
3	7
20	12
4	13
7	17
11	6
4	7
19	15
14	15
5	18
10	17
13	13
12	18
12	4
9	1
12	9
16	7
7	17
18	10
10	17
19	1
12	13
11	12
1	18
7	4
6	1
7	16
11	5
9	9
19	8
19	8
7	14
3	1
6	7
9	20
9	12
16	20
6	20
16	20
19	17
1	18
9	2
17	1
2	16
15	11
11	8
5	8
13	18
2	9
6	20
5	5
19	4
12	9
10	8
14	9
14	9
7	5
13	1
16	10
1	12
2	1
7	9
18	4
20	3
18	9
13	18
5	15
3	16
20	11
14	2
5	1
18	7
14	16
3	7
12	19
14	14
7	11
7	5
20	10
1	17
8	7
11	9
15	12
4	3
14	1
14	2
2	20
17	3
16	14
19	16
19	7
2	8
14	8
18	4
20	7
4	4
8	11
20	13
19	18
15	15
10	5
16	5
2	3
1	8
16	14
8	14
16	19
6	20
10	18
3	3
8	19
16	1
13	7
4	2
18	19
2	7
18	3
2	8
11	2
19	17
13	6
6	9
4	17
16	16
8	4
18	9
17	16
7	15
8	4
20	10
9	7
18	18
8	11
11	17
20	4
16	12
18	15
14	3
20	13
16	16
1	20
4	9
16	6
20	12
16	17
12	9
17	17
14	18
13	1
10	12
16	17
17	7
12	9
12	4
1	1
19	2
19	5
13	13
5	7
18	18
6	2
3	7
7	3
11	12
2	6
15	9
10	1
3	9
11	20
20	2
19	16
1	9
19	18
17	14
15	1
2	1
13	4
13	9
8	5
2	14
10	9
18	14
2	19
10	18
19	16
4	13
16	13
13	19
2	1
5	1
11	6
16	4
9	8
10	16
8	7
7	1
8	6
6	11
2	20
18	3
8	15
5	4
9	4
3	6
16	3
12	3
14	10
3	16
4	5
10	8
15	19
14	11
9	4
19	9
10	20
2	7
6	17
16	5
5	15
17	5
10	9
9	11
20	7
4	19
4	8
1	18
6	3
10	8
7	16
20	5
12	3
12	9
14	9
8	12
5	14
20	19
4	9
15	5
4	1
20	14
19	5
15	4
5	10
5	10
18	10
6	19
14	17
10	11
10	6
20	19
12	17
6	17
3	17
11	15
5	2
16	2
5	2
6	4
14	7
20	4
7	15
6	8
3	2
8	12
16	7
3	15
13	20
16	3
8	3
11	1
17	19
8	10
12	2
13	4
13	18
2	7
18	8
1	18
20	11
13	13
18	17
18	18
2	18
18	13
6	6
17	11
18	11
16	12
11	4
16	12
1	16
10	17
13	19
11	18
4	3
15	20
15	17
6	14
18	5
8	14
17	7
14	6
18	7
8	20
5	7
15	20
12	17
13	9
7	11
10	9
2	17
19	9
16	2
6	7
2	3
7	5
19	4
20	6
11	17
14	5
3	4
14	13
7	5
5	18
9	2
7	17
19	1
20	19
7	20
6	6
20	11
14	14
17	4
6	5
17	8
11	6
17	1
15	12
20	9
1	3
7	6
12	16
7	7
9	17
4	6
15	11
17	17
7	11
13	7
5	15
3	9
11	18
13	1
12	10
3	4
12	8
20	7
17	18
19	19
18	14
4	6
18	14
5	6
14	1
18	20
7	10
14	18
1	3
1	6
17	16
7	8
10	15
2	18
7	17
5	15
5	18
14	13
20	9
20	12
13	10
7	15
1	3
20	12
19	5
1	15
11	20
13	12
2	18
14	4
18	15
19	13
1	18
3	13
14	20
9	6
3	14
20	17
20	9
4	6
19	11
17	14
4	12
2	19
5	12
14	15
18	1
9	5
8	1
8	1
1	4
5	19
18	7
10	11
17	20
17	6
17	11
1	7
9	19
10	17
11	3
12	10
14	2
18	15
6	17
2	18
6	9
16	12
10	6
16	16
18	3
2	3
3	10
8	10
19	4
11	14
7	11
7	4
12	11
9	5
16	10
6	20
19	14
9	1
17	16
15	18
4	19
20	3
13	15
9	19
14	8
4	9
20	16
20	13
11	12
9	5
12	4
5	14
19	1
14	6
11	2
13	10
13	4
1	3
2	9
10	13
3	15
15	19
1	4
5	12
11	19
8	17
19	6
10	14
3	15
20	2
16	8
9	4
2	19
8	4
13	15
10	14
15	15
2	5
19	8
6	14
1	1
3	13
7	12
4	4
19	11
3	10
14	7
6	8
12	1
18	6
3	18
9	16
20	18
19	4
4	19
10	5
1	9
11	11
17	19
5	20
3	5
16	12
10	4
10	9
13	18
8	5
16	8
3	2
1	10
17	5
2	19
1	16
16	16
20	16
6	3
9	17
20	16
2	20
3	19
1	10
18	13
6	3
10	4
14	14
3	16
4	12
2	15
4	12
6	18
8	12
5	18
4	12
12	10
5	2
4	18
13	10
9	18
3	14
7	5
3	15
16	5
16	17
16	3
7	4
8	8
2	16
4	11
9	3
1	17
4	10
9	13
20	16
16	2
4	2
10	6
4	19
6	6
16	11
15	6
17	16
13	20
10	10
17	18
4	1
17	8
17	13
15	1
13	9
19	13
9	1
20	6
15	8
3	14
6	5
9	4
14	1
20	9
10	19
4	7
16	9
13	14
15	6
19	16
7	10
5	13
14	16
1	17
16	13
16	13
10	10
8	3
7	6
19	6
1	1
3	17
11	6
5	1
19	4
18	20
15	18
16	16
13	15
11	3
20	6
3	6
5	10
6	11
16	18
14	17
7	9
16	9
14	2
17	18
11	11
7	19
3	18
3	20
13	3
6	4
8	7
11	16
15	6
10	4
15	19
5	16
1	3
6	2
2	19
9	6
11	13
2	13
20	8
20	16
8	20
8	15
7	15
13	3
12	1
6	11
19	16
7	2
11	7
11	13
5	10
12	10
1	18
1	14
16	18
13	1
8	6
13	17
4	2
11	2
12	19
18	17
12	10
18	11
2	4
3	5
7	17
18	18
6	3
1	3
1	2
7	9
20	1
11	4
8	14
17	4
15	7
17	16
10	17
19	4
20	16
14	19
7	16
5	17
8	18
14	11
20	3
15	1
18	2
15	2
19	7
14	12
12	6
4	7
11	13
8	15
2	20
3	4
1	9
9	17
9	14
18	14
2	11
7	8
5	13
5	18
4	18
4	14
1	20
7	10
10	2
16	9
8	11
13	9
14	1
12	6
4	3
10	4
6	13
6	1
8	5
5	20
3	12
17	4
17	5
12	14
11	19
1	14
15	2
3	9
12	4
14	5
17	9
6	20
15	18
4	16
17	3
1	11
17	6
20	1
3	13
